Date;CAC 40;SP500
12.07.2013;3855.090088;1615.410034
11.07.2013;3868.97998;1614.079956
10.07.2013;3840.530029;1614.959961
09.07.2013;3843.560059;1606.280029
08.07.2013;3823.830078;1613.199951
05.07.2013;3753.850098;1603.26001
04.07.2013;3809.310059;1588.030029
03.07.2013;3702.01001;1573.089966
02.07.2013;3742.570068;1592.430054
01.07.2013;3767.47998;1588.189941
28.06.2013;3738.909912;1628.930054
27.06.2013;3762.189941;1651.810059
26.06.2013;3726.040039;1639.040039
25.06.2013;3649.820068;1626.72998
24.06.2013;3595.629883;1636.359985
21.06.2013;3658.040039;1612.52002
20.06.2013;3698.929932;1626.130005
19.06.2013;3839.340088;1642.810059
18.06.2013;3860.550049;1643.380005
17.06.2013;3863.659912;1622.560059
14.06.2013;3805.159912;1608.900024
13.06.2013;3797.97998;1631.380005
12.06.2013;3793.699951;1640.420044
11.06.2013;3810.560059;1630.73999
10.06.2013;3864.360107;1654.410034
07.06.2013;3872.590088;1648.359985
06.06.2013;3814.280029;1660.060059
05.06.2013;3852.439941;1649.599976
04.06.2013;3925.830078;1650.51001
03.06.2013;3920.669922;1655.349976
31.05.2013;3948.590088;1669.160034
30.05.2013;3996.310059;1666.290039
29.05.2013;3974.120117;1667.469971
28.05.2013;4050.560059;1650.469971
27.05.2013;3995.159912;1658.780029
24.05.2013;3956.790039;1650.339966
23.05.2013;3967.149902;1633.77002
22.05.2013;4051.110107;1633.699951
21.05.2013;4036.179932;1626.670044
20.05.2013;4022.850098;1632.689941
17.05.2013;4001.27002;1625.959961
16.05.2013;3979.070068;1617.5
15.05.2013;3982.22998;1614.420044
14.05.2013;3966.060059;1597.589966
13.05.2013;3945.199951;1582.699951
10.05.2013;3953.830078;1597.569946
09.05.2013;3928.580078;1593.609985
08.05.2013;3956.280029;1582.23999
07.05.2013;3921.320068;1585.160034
06.05.2013;3907.040039;1578.790039
03.05.2013;3912.949951;1578.780029
02.05.2013;3858.76001;1562.5
30.04.2013;3856.75;1555.25
29.04.2013;3868.679932;1541.609985
26.04.2013;3810.050049;1552.01001
25.04.2013;3840.469971;1574.569946
24.04.2013;3842.939941;1552.359985
23.04.2013;3783.050049;1588.849976
22.04.2013;3652.129883;1593.369995
19.04.2013;3651.959961;1587.72998
18.04.2013;3599.360107;1568.609985
17.04.2013;3599.22998;1563.069946
16.04.2013;3685.790039;1553.280029
15.04.2013;3710.47998;1559.97998
12.04.2013;3729.300049;1553.689941
11.04.2013;3775.659912;1570.25
10.04.2013;3743.709961;1562.170044
09.04.2013;3670.719971;1569.189941
08.04.2013;3666.780029;1562.849976
05.04.2013;3663.47998;1563.77002
04.04.2013;3726.159912;1551.689941
03.04.2013;3754.959961;1556.890015
02.04.2013;3805.370117;1545.800049
28.03.2013;3731.419922;1558.709961
27.03.2013;3711.639893;1548.339966
26.03.2013;3748.639893;1552.099976
25.03.2013;3727.97998;1560.699951
22.03.2013;3770.290039;1563.22998
21.03.2013;3774.850098;1554.52002
20.03.2013;3829.560059;1552.47998
19.03.2013;3775.75;1556.219971
18.03.2013;3825.469971;1551.180054
15.03.2013;3844.030029;1544.26001
14.03.2013;3871.580078;1541.459961
13.03.2013;3836.040039;1539.790039
12.03.2013;3839.969971;1525.199951
11.03.2013;3836.27002;1518.199951
08.03.2013;3840.149902;1514.680054
07.03.2013;3793.780029;1515.98999
06.03.2013;3773.76001;1496.939941
05.03.2013;3787.189941;1487.849976
04.03.2013;3709.76001;1515.599976
01.03.2013;3699.909912;1502.420044
28.02.2013;3723;1511.949951
27.02.2013;3691.48999;1530.939941
26.02.2013;3621.919922;1519.790039
25.02.2013;3721.330078;1521.380005
22.02.2013;3706.280029;1520.329956
21.02.2013;3624.800049;1519.430054
20.02.2013;3709.879883;1517.01001
19.02.2013;3735.820068;1517.930054
18.02.2013;3667.040039;1509.390015
15.02.2013;3660.370117;1512.119995
14.02.2013;3669.600098;1511.290039
13.02.2013;3698.530029;1495.709961
12.02.2013;3686.580078;1513.170044
11.02.2013;3650.580078;1498.109985
08.02.2013;3649.5;1501.959961
07.02.2013;3601.050049;1507.839966
06.02.2013;3642.899902;1500.180054
05.02.2013;3694.699951;1502.959961
04.02.2013;3659.909912;1494.819946
01.02.2013;3773.530029;1494.810059
31.01.2013;3732.600098;1492.560059
30.01.2013;3765.52002;1485.97998
29.01.2013;3785.820068;1480.939941
28.01.2013;3780.889893;1472.630005
25.01.2013;3778.159912;1472.339966
24.01.2013;3752.169922;1470.680054
23.01.2013;3726.169922;1472.050049
22.01.2013;3741.01001;1472.119995
21.01.2013;3763.030029;1461.02002
18.01.2013;3741.580078;1457.150024
17.01.2013;3744.110107;1461.890015
16.01.2013;3708.48999;1466.469971
15.01.2013;3697.350098;1459.369995
14.01.2013;3708.25;1462.420044
11.01.2013;3706.02002;1426.189941
10.01.2013;3703.120117;1402.430054
09.01.2013;3717.449951;1418.099976
08.01.2013;3705.879883;1419.829956
07.01.2013;3704.639893;1426.660034
04.01.2013;3730.02002;1430.150024
03.01.2013;3721.169922;1443.689941
02.01.2013;3733.929932;1435.810059
31.12.2012;3641.070068;1446.790039
28.12.2012;3620.25;1430.359985
27.12.2012;3674.26001;1413.579956
24.12.2012;3652.610107;1419.449951
21.12.2012;3661.399902;1428.47998
20.12.2012;3666.72998;1427.839966
19.12.2012;3664.590088;1418.550049
18.12.2012;3648.629883;1418.069946
17.12.2012;3638.100098;1413.939941
14.12.2012;3643.280029;1409.280029
13.12.2012;3643.129883;1407.050049
12.12.2012;3646.659912;1409.459961
11.12.2012;3646.149902;1416.180054
10.12.2012;3612.100098;1415.949951
07.12.2012;3605.610107;1409.930054
06.12.2012;3601.649902;1398.939941
05.12.2012;3590.5;1406.290039
04.12.2012;3580.47998;1409.150024
03.12.2012;3566.590088;1391.030029
30.11.2012;3557.280029;1387.810059
29.11.2012;3568.879883;1386.890015
28.11.2012;3515.189941;1359.880005
27.11.2012;3502.129883;1353.329956
26.11.2012;3500.939941;1355.48999
23.11.2012;3528.800049;1374.530029
22.11.2012;3498.219971;1380.030029
21.11.2012;3477.360107;1379.849976
20.11.2012;3462.060059;1377.51001
19.11.2012;3439.580078;1394.530029
16.11.2012;3341.52002;1428.390015
15.11.2012;3382.399902;1417.26001
14.11.2012;3400.02002;1414.199951
13.11.2012;3430.600098;1427.589966
12.11.2012;3411.649902;1412.160034
09.11.2012;3423.570068;1411.939941
08.11.2012;3407.679932;1412.969971
07.11.2012;3409.590088;1408.75
06.11.2012;3478.659912;1413.109985
05.11.2012;3448.5;1433.819946
02.11.2012;3492.459961;1433.189941
01.11.2012;3475.399902;1457.339966
31.10.2012;3429.27002;1460.910034
30.10.2012;3459.439941;1454.920044
29.10.2012;3408.889893;1440.130005
26.10.2012;3435.090088;1428.589966
25.10.2012;3411.530029;1432.839966
24.10.2012;3426.48999;1432.560059
23.10.2012;3406.5;1441.47998
22.10.2012;3483.25;1455.880005
19.10.2012;3504.560059;1460.930054
18.10.2012;3535.179932;1461.400024
17.10.2012;3527.5;1450.98999
16.10.2012;3500.939941;1445.75
15.10.2012;3420.280029;1444.48999
12.10.2012;3389.080078;1440.670044
11.10.2012;3413.719971;1447.150024
10.10.2012;3365.870117;1433.319946
09.10.2012;3382.780029;1441.589966
08.10.2012;3406.530029;1456.890015
05.10.2012;3457.040039;1460.150024
04.10.2012;3401.199951;1460.26001
03.10.2012;3406.02002;1461.050049
02.10.2012;3414.22998;1459.319946
01.10.2012;3434.97998;1461.189941
28.09.2012;3354.820068;1465.77002
27.09.2012;3439.320068;1459.98999
26.09.2012;3414.840088;1436.560059
25.09.2012;3513.810059;1433.560059
24.09.2012;3497.219971;1429.079956
21.09.2012;3530.719971;1437.920044
20.09.2012;3509.919922;1432.119995
19.09.2012;3531.820068;1403.439941
18.09.2012;3512.689941;1404.939941
17.09.2012;3553.689941;1406.579956
14.09.2012;3581.580078;1399.47998
13.09.2012;3502.090088;1410.48999
12.09.2012;3543.790039;1409.300049
11.09.2012;3537.300049;1410.439941
10.09.2012;3506.050049;1411.130005
07.09.2012;3519.050049;1402.079956
06.09.2012;3509.879883;1413.48999
05.09.2012;3405.790039;1413.170044
04.09.2012;3399.040039;1418.130005
03.09.2012;3453.709961;1418.160034
