Date,DAX,CAC40
05.06.2013,8480.870117,3852.439941
04.06.2013,8383.299805,3925.830078
03.06.2013,8305.320312,3920.669922
31.05.2013,8351.980469,3948.590088
30.05.2013,8530.889648,3996.310059
29.05.2013,8472.200195,3974.120117
28.05.2013,8455.830078,4050.560059
27.05.2013,8398,3995.159912
24.05.2013,8369.870117,3956.790039
23.05.2013,8362.419922,3967.149902
22.05.2013,8339.110352,4051.110107
21.05.2013,8279.290039,4036.179932
20.05.2013,8278.589844,4022.850098
17.05.2013,8262.549805,4001.27002
16.05.2013,8249.709961,3979.070068
15.05.2013,8181.779785,3982.22998
14.05.2013,8112.080078,3966.060059
13.05.2013,8122.290039,3945.199951
10.05.2013,7961.709961,3953.830078
09.05.2013,7913.709961,3928.580078
08.05.2013,7913.709961,3956.280029
07.05.2013,7873.5,3921.320068
06.05.2013,7814.759766,3907.040039
03.05.2013,7832.859863,3912.949951
02.05.2013,7759.029785,3858.76001
30.04.2013,7658.209961,3856.75
29.04.2013,7478.109863,3868.679932
26.04.2013,7459.959961,3810.050049
25.04.2013,7473.72998,3840.469971
24.04.2013,7503.029785,3842.939941
23.04.2013,7682.580078,3783.050049
22.04.2013,7712.629883,3652.129883
19.04.2013,7744.77002,3651.959961
18.04.2013,7871.629883,3599.360107
17.04.2013,7810.629883,3599.22998
16.04.2013,7637.509766,3685.790039
15.04.2013,7662.640137,3710.47998
12.04.2013,7658.75,3729.300049
11.04.2013,7817.390137,3775.659912
10.04.2013,7874.75,3743.709961
09.04.2013,7943.870117,3670.719971
08.04.2013,7795.310059,3666.780029
05.04.2013,7795.310059,3663.47998
04.04.2013,7789.089844,3726.159912
03.04.2013,7879.669922,3754.959961
02.04.2013,7870.899902,3805.370117
28.03.2013,7911.350098,3731.419922
27.03.2013,7932.509766,3711.639893
26.03.2013,8001.970215,3748.639893
25.03.2013,7947.790039,3727.97998
22.03.2013,8010.700195,3770.290039
21.03.2013,8042.850098,3774.850098
20.03.2013,8058.370117,3829.560059
19.03.2013,7970.910156,3775.75
18.03.2013,7966.120117,3825.469971
15.03.2013,7984.290039,3844.030029
14.03.2013,7986.470215,3871.580078
13.03.2013,7939.77002,3836.040039
12.03.2013,7919.330078,3839.969971
11.03.2013,7870.310059,3836.27002
08.03.2013,7691.680176,3840.149902
07.03.2013,7708.160156,3793.780029
06.03.2013,7741.700195,3773.76001
05.03.2013,7675.830078,3787.189941
04.03.2013,7597.109863,3709.76001
01.03.2013,7773.189941,3699.909912
28.02.2013,7661.910156,3723
27.02.2013,7583.569824,3691.48999
26.02.2013,7728.899902,3621.919922
25.02.2013,7752.450195,3721.330078
22.02.2013,7628.72998,3706.280029
21.02.2013,7593.509766,3624.800049
20.02.2013,7631.189941,3709.879883
19.02.2013,7711.890137,3735.820068
18.02.2013,7660.189941,3667.040039
15.02.2013,7633.740234,3660.370117
14.02.2013,7652.140137,3669.600098
13.02.2013,7590.850098,3698.530029
12.02.2013,7581.180176,3686.580078
11.02.2013,7664.660156,3650.580078
08.02.2013,7638.22998,3649.5
07.02.2013,7833.390137,3601.050049
06.02.2013,7776.049805,3642.899902
05.02.2013,7811.310059,3694.699951
04.02.2013,7848.569824,3659.909912
01.02.2013,7833,3773.530029
31.01.2013,7857.970215,3732.600098
30.01.2013,7748.129883,3765.52002
29.01.2013,7707.540039,3785.820068
28.01.2013,7696.209961,3780.889893
25.01.2013,7748.859863,3778.159912
24.01.2013,7702.22998,3752.169922
23.01.2013,7735.459961,3726.169922
22.01.2013,7691.129883,3741.01001
21.01.2013,7675.910156,3763.030029
18.01.2013,7729.52002,3741.580078
17.01.2013,7715.529785,3744.110107
16.01.2013,7708.470215,3708.48999
