Time,Code,Y,FSANL,FSCD,FSEIM,FSERA
2012,Belgium,5.19,3.797886572,100.827662,64.24301128,0.172164888
2012,Denmark,5.91,5.950517803,31.22782885,72.86675652,0.093568009
2012,France,4.57,4.294523225,69.02007889,38.15628293,0.311484589
2012,Germany,7.08,2.86,75.73391926,71.50675587,0.448197011
2012,Italy,4.41,13.74636964,67.9284086,53.75996958,-0.063966898
2012,Luxembourg,5.17,0.145588493,129.2485417,30.77685295,0.628754505
2012,Netherlands,5.75,3.097844285,,75.1449269,0.328971463
2012,Norway,7.77,1.512157551,,36.0876575,1.02052322
2012,Sweden,6.58,0.700061655,,60.13098284,0.688984928
2012,Switzerland,7.3,0.772223279,105.3516913,31.62716876,0.627524603
2012,Canada,6.49,0.621536377,96.66023277,52.01688479,1.059533158
2012,Japan,3.85,2.428891609,133.1089477,71.93695309,0.270106085
2012,Finland,5.23,,54.53508888,41.56660949,0.477567894
2012,Greece,2.6,23.27038879,89.62725365,79.30260696,-1.786761085
2012,Ireland,3.88,24.5904665,,64.53730037,-0.847710655
2012,Portugal,2.79,9.800332318,72.69462082,46.68543032,-0.331360439
2012,Spain,2.55,7.483903404,77.67672453,67.18233297,-1.393132095
2012,Turkey,6.37,2.743367598,90.84961386,64.37254976,2.353265071
2012,Australia,7.26,1.719318066,,61.02489941,1.134295095
2012,Argentina,5.15,1.733131498,138.0576249,41.55952349,4.349869028
2012,Brazil,6.9,3.446823393,116.7071598,77.59809586,1.370026573
2012,Peru,6.32,3.233320918,96.03976252,85.3342599,2.195332395
2012,Israel,6.88,2.839322482,113.0880873,60.72036367,0.780165675
2012,"China,_P.R.:_Hong_Kong",6.82,0.6,148.98,48,0.9
2012,India,6.74,3.373953917,113.9495485,70.25629648,0.947420373
2012,Indonesia,6.63,1.773381885,106.2457788,64.97380034,2.568056677
2012,"Korea,_Republic_of",5.28,0.594291799,84.13682789,78.26916694,0.660836135
2012,Malaysia,7.58,2.015843113,,54.77832688,1.579427599
2012,Philippines,6.9,2.222894812,133.6502213,57.76480078,1.808675571
2012,Singapore,6.63,1.042628089,114.5260662,55.57497379,1.441576474
2012,Kazakhstan,5.5,19.38986665,84.09386588,63.80621816,1.909192873
2012,Bulgaria,2.48,16.62632093,100.1632547,68.76835084,0.661417828
2012,Russian_Federation,3.97,6.026646392,68.73911643,46.06343224,2.390827341
2012,"China,_P.R.:_Mainland",6.17,0.95367433,,80.17415399,1.283598929
2012,Ukraine,2.54,16.54233036,69.79957162,64.1456767,0.437322309
2012,Czech_Republic,4.73,5.239479047,133.0844151,60.72440355,1.363226697
2012,Slovak_Republic,2.95,5.222510613,114.175803,93.55365389,1.001026412
2012,Estonia,6.65,2.622666595,82.40249067,57.79862389,1.941002309
2012,Hungary,3.9,15.77735332,,73.72461495,-0.133405409
2012,Lithuania,3.7,14.80169421,85.72271208,41.09462736,1.056812158
2012,Croatia,2.26,13.75955278,81.27800228,70.9538652,0.854972985
2012,Slovenia,3.35,15.17953698,,58.02574052,-1.48356798
2012,Poland,5.83,5.202039832,84.94463362,55.00596666,1.170247044
2012,Romania,3.12,18.23744497,87.3469924,62.3233939,-0.637611245
2013,Russian_Federation,3.51,6.000691339,,,1.865107882
2013,Estonia,7.02,1.474622315,85.16728353,41.22939849,2.415270917
